artist_name-1,Artist Name(s),artist_id
TV Girl,TV Girl,360
Black Gryph0n,Black Gryph0n;Baasik;Elsie Lovelock;Michael Kovach;Krystal LaPorte;Michelle Marie,40
Baasik,Black Gryph0n;Baasik;Elsie Lovelock;Michael Kovach;Krystal LaPorte;Michelle Marie,28
Michael Kovach,Black Gryph0n;Baasik;Elsie Lovelock;Michael Kovach;Krystal LaPorte;Michelle Marie,234
Elsie Lovelock,Black Gryph0n;Baasik;Elsie Lovelock;Michael Kovach;Krystal LaPorte;Michelle Marie,111
Krystal LaPorte,Black Gryph0n;Baasik;Elsie Lovelock;Michael Kovach;Krystal LaPorte;Michelle Marie,196
Michelle Marie,Black Gryph0n;Baasik;Elsie Lovelock;Michael Kovach;Krystal LaPorte;Michelle Marie,235
Mad Tsai,Mad Tsai,221
Gracie Abrams,Gracie Abrams,141
Queen,Queen,268
STOMACH BOOK,STOMACH BOOK,306
Evanescence,Evanescence,119
WRABEL,WRABEL,372
WRABEL,WRABEL,372
Em Beihold,Em Beihold,114
Cótiles,Cótiles,71
Tryhardninja,Tryhardninja,358
Toby Fox,Toby Fox,346
TV Girl,TV Girl,360
TV Girl,TV Girl,360
TV Girl,TV Girl,360
Sodikken,Sodikken,295
Ghost and Pals,Ghost and Pals;Lauren Estes,135
Lauren Estes,Ghost and Pals;Lauren Estes,202
Ghost,Ghost,134
Black Gryph0n,Black Gryph0n;Baasik;The Living Tombstone;Kevin Foster,40
Baasik,Black Gryph0n;Baasik;The Living Tombstone;Kevin Foster,28
Kevin Foster,Black Gryph0n;Baasik;The Living Tombstone;Kevin Foster,188
The Living Tombstone,Black Gryph0n;Baasik;The Living Tombstone;Kevin Foster,336
Steven Universe,Steven Universe;Christine Ebersole;Lisa Hannigan;Patti LuPone;Sarah Stiles,305
Christine Ebersole,Steven Universe;Christine Ebersole;Lisa Hannigan;Patti LuPone;Sarah Stiles,65
Patti LuPone,Steven Universe;Christine Ebersole;Lisa Hannigan;Patti LuPone;Sarah Stiles,257
Lisa Hannigan,Steven Universe;Christine Ebersole;Lisa Hannigan;Patti LuPone;Sarah Stiles,211
Sarah Stiles,Steven Universe;Christine Ebersole;Lisa Hannigan;Patti LuPone;Sarah Stiles,286
The Gregory Brothers,The Gregory Brothers;TomSka,332
TomSka,The Gregory Brothers;TomSka,350
Cótiles,Cótiles,71
